gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000004059	ARF5	7482.999	8215.6	33406.909	30246.99	8645.339	12306.927	8422.896	11382.013
ENSG00000004139	SARM1	3134	3269.017	1144.133	1108.996	16	9	720.698	799.906
ENSG00000004142	POLDIP2	12841	12983	10084	10394	9658	11489	5433	7210
ENSG00000004399	PLXND1	13	5	3996.999	4921	2810.001	2942.999	5947	9067.001
ENSG00000004455	AK2	20930.738	19696.846	6885.718	5451.886	41386.516	52570.32	11115.806	12971.227
ENSG00000004468	CD38	2197	2092	53	44	2	2	7	9
ENSG00000004478	FKBP4	6493.999	6944	16494	16229	12922	15601	28533	49815
ENSG00000004487	KDM1A	13410.001	12711	27144	18967	16697.999	22917.999	15061.001	14308
ENSG00000004534	RBM6	10172.999	8872	5017.09	2753.861	6917	8990.999	14371.807	15526.999
ENSG00000004660	CAMKK1	64	64	1623	2019	1058.001	1159	389	465
ENSG00000004700	RECQL	6786	5512	1552	686	2510.001	3496	4007	3699
ENSG00000004766	CCDC132	1441.001	1169.999	581.999	310	1472	1859	2666.997	2345.002
ENSG00000004776	HSPB6	7	0	81	123	0	0	4	9
ENSG00000004777	ARHGAP33	1670.999	1978	925.001	1712.998	994	1267	607.001	961
ENSG00000004779	NDUFAB1	9213	8158	10097.001	7112	12441	13174.001	9903	9869
ENSG00000004799	PDK4	2	0	4	4	4	15	476	288
ENSG00000004809	SLC22A16	0	0	0	0	0	0	2	0
ENSG00000004838	ZMYND10	43	59	49	40	110	63	62	85
ENSG00000004846	ABCB5	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	4	0	1	8	0	4	56	104
ENSG00000004864	SLC25A13	1827	1740	5771	3785	5804	7495	5285.001	6011.999
ENSG00000004866	ST7	4402	4166.001	2558.998	1420.999	2982	2908.001	1533.614	1949.999
ENSG00000004897	CDC27	8116.996	6936.001	3267.878	1721	7745	9674.001	8049.976	7190.998
ENSG00000004939	SLC4A1	7	7	24	22	119	81	2	6
ENSG00000004948	CALCR	0	0	161	117	6	2	6881	9946
ENSG00000004961	HCCS	1925	1684.999	1032	694	3339.999	4495.001	2839.001	2683
ENSG00000004975	DVL2	2495	2714	2483.999	3224	2643.001	2877.999	1041	1202
ENSG00000005001	PRSS22	0	0	212	254.001	0	14	829.001	731
ENSG00000005007	UPF1	7147	10166	8635.999	12513	7319	9147	8920.001	12352.001
ENSG00000005020	SKAP2	1925	1950	146	59	634	921	3297.999	2849
ENSG00000005022	SLC25A5	30917	31007	48168.999	49426	29868	34964	64184.999	72266
ENSG00000005059	CCDC109B	2731	2224	1094	626.001	576.999	847	1818.001	2169
ENSG00000005073	HOXA11	0	0	1	0	0	0	52	56
ENSG00000005075	POLR2J	3730.153	4153.086	5068.227	4072.599	5532.489	7128.192	4391.438	5504.966
ENSG00000005100	DHX33	5727	5882	10290	8426.001	3088	3337	6646.001	7019.001
ENSG00000005102	MEOX1	49	52	1	3	0	0	0	0
ENSG00000005108	THSD7A	0	0	263	183	0	0	3	13
ENSG00000005156	LIG3	4378	4415.003	9157.001	7851.999	5060.999	6175	2836.001	3685.999
ENSG00000005175	RPAP3	2280	1854	849.999	378	4284.999	5939.001	3863	3805.001
ENSG00000005187	ACSM3	209	245	486	335	8319.999	10508	134	91.999
ENSG00000005189	AC004381.6	1114.001	907.001	329.999	225	2353.001	2762	1247	1624.999
ENSG00000005194	CIAPIN1	4053	3471	9209.995	6558	6165.29	7290	3440.965	3767.983
ENSG00000005206	SPPL2B	4864.001	5398	4676.998	8901	4916.001	7385	1683	2949.999
ENSG00000005238	FAM214B	507	371.999	1740.999	1840.001	862	1051	741.001	671
ENSG00000005243	COPZ2	89.001	85	11	8	1	0	369.001	401
ENSG00000005249	PRKAR2B	0	0	2561	1398	13746	15199	1546	1613
ENSG00000005302	MSL3	4722	4211.999	1242.999	856.999	2953	4121.001	2526.999	2301
ENSG00000005339	CREBBP	3970	5126	5485	7638	2199	3197	14001.999	12854.001
ENSG00000005379	BZRAP1	1240	1525	1340.999	1560.999	326	652.999	1	2
ENSG00000005381	MPO	20	21	15	26	3	0	0	0
ENSG00000005421	PON1	15	0	2	1	0	0	0	0
ENSG00000005436	GCFC2	1725.999	1319	694	359.999	1624.001	2372.999	1262.002	1040.001
ENSG00000005448	WDR54	3938.001	3631	7008	6704.998	454	377	1537.001	2047
ENSG00000005469	CROT	1077.999	811.999	368	181	381	610	5183.999	4344.001
ENSG00000005471	ABCB4	742	671.999	91	55	8	52	48	30
ENSG00000005483	KMT2E	3250	3568.999	2628	2474	3710	5032.001	8084.999	6836.001
ENSG00000005486	RHBDD2	1403.999	1517	6343.999	7162	1356.001	1632	4318	4282.999
ENSG00000005513	SOX8	0	0	490	822	15	24	27	29
ENSG00000005700	IBTK	3915	3327.999	1713	867.001	3318.999	4646	8412.001	7166
ENSG00000005801	ZNF195	2306.001	1901	2854.001	1720.001	4718.001	6401	4017.998	2886
ENSG00000005810	MYCBP2	13699	12986	4276.001	2893	3131.001	4380.999	9674	9136.999
ENSG00000005812	FBXL3	2365	1748	789	461.999	1242	1372	4519	4363
ENSG00000005844	ITGAL	13019.001	14120	2	6	2	1	23	16
ENSG00000005882	PDK2	887.999	884	4847.999	5719	72	89	1788.001	1917.002
ENSG00000005884	ITGA3	1189	1528	4199.001	5354	4	5	4491	6193
ENSG00000005889	ZFX	3378	2994.999	1212.353	693	1483	1869.001	8097.999	6945.001
ENSG00000005893	LAMP2	3918	2953	3422	1911	4940	6533.999	16503.999	17555.998
ENSG00000005955	GGNBP2	4410.999	4137	2094	1641	5993	8154	6560	6571.001
ENSG00000005961	ITGA2B	12	17	1149	1501	1513	2018	206	298
ENSG00000005981	ASB4	5	2	1	0	0	0	1	3
ENSG00000006007	GDE1	2625.001	2877.001	5441	4485	2945	3126	11869	11014.001
ENSG00000006015	C19orf60	2455	3090.998	2991.001	4857	3506	4813	932.001	1560.002
ENSG00000006016	CRLF1	4	2	593	1028	92	84	162	400
ENSG00000006025	OSBPL7	1960.001	2086	1593	1926.999	1374	1860.001	2392.001	2795.999
ENSG00000006042	TMEM98	9	4	12535.999	11172.001	4802.988	5306	45.001	59.999
ENSG00000006047	YBX2	0	0	2238	2957	29	7	1011.998	1857.001
ENSG00000006059	KRT33A	0	0	0	2	0	0	0	0
ENSG00000006062	MAP3K14	4463	4555	1256	1345.999	818	1065	1166	1202
ENSG00000006071	ABCC8	0	0	471.001	565.001	0	0	341.001	390
ENSG00000006074	CCL18	0	0	0	0	0	0	0	0
ENSG00000006075	CCL3	5510.575	5848.997	0	0	3	0	0	1
ENSG00000006114	SYNRG	5578	5374	3092	2091	2554	3356	3021.001	2352.001
ENSG00000006116	CACNG3	0	0	23	10	0	0	0	0
ENSG00000006118	TMEM132A	1002.999	1102	8658.999	10682.999	36	46	4895.998	7609
ENSG00000006125	AP2B1	12255	10833	33006.876	19131.98	23166.001	27311.001	17880.999	18294.002
ENSG00000006128	TAC1	0	0	99	114	3	7	0	0
ENSG00000006194	ZNF263	2094.001	2199.001	1005.001	1452.001	2219	3014.999	2718.001	2423.001
ENSG00000006210	CX3CL1	103	150	656	562	0	0	2	0
ENSG00000006282	SPATA20	5475.999	5121	2454.007	2640.954	236	358	3205.494	3732.019
ENSG00000006283	CACNA1G	2	2	1020.001	1823.999	0	0	18	13
ENSG00000006327	TNFRSF12A	49	32	6017	7006	1971	2777.001	2208.999	3729.001
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	1346	1487	7000	5559	77	55	8005	6971.999
ENSG00000006451	RALA	2765	2330.001	4606	2113	2616	3327.001	4408.995	4397.998
ENSG00000006453	BAIAP2L1	6309	6658	4394	4899	2452	3029	4053.001	3650.001
ENSG00000006459	KDM7A	192	167	1354	758	1646	2437	4110.001	2903
ENSG00000006468	ETV1	0	0	4875.001	3488.001	1335	1905.999	3	2
ENSG00000006530	AGK	5061.001	4421.001	3466	2159	6960	7831.001	3779.999	4252.999
ENSG00000006534	ALDH3B1	13	10	71.999	56.001	50	18	336	523
ENSG00000006555	TTC22	531.999	544	159.999	239	24	0	49	68
ENSG00000006576	PHTF2	4616.999	3736	1939	879.999	3516.999	4856.001	7274.999	7642.999
ENSG00000006606	CCL26	0	0	155	83	94	81	9	10
ENSG00000006607	FARP2	6099	5953.001	3586.001	2835	3212	4175	7482.001	7747.001
ENSG00000006611	USH1C	0	0	124	167	0	4	3	1
ENSG00000006625	GGCT	4231	4108	2910.001	2205	6894	8472.999	6989.001	7174.001
ENSG00000006634	DBF4	2912	2807.001	1117.756	750	4080	5932.062	5234.618	4354.91
ENSG00000006638	TBXA2R	0	12	69	100	630	863	5	9
ENSG00000006652	IFRD1	1655.001	1704	3138	2066.001	7250.999	7913	10180.001	9870.999
ENSG00000006659	LGALS14	145	193	25	6	0	0	4	0
ENSG00000006695	COX10	1903	1806	2928	2894	1720	1651.001	1320	1481
ENSG00000006704	GTF2IRD1	260	363	4559.999	5491.999	1916	2666	2961.001	3219.999
ENSG00000006712	PAF1	3534.001	3471.999	3432.001	3566.999	2744	4478	9295.999	12046.999
ENSG00000006715	VPS41	4903.001	4594.001	3430.999	1913	3151.001	3756	8547.999	7226.001
ENSG00000006740	ARHGAP44	141	139	1840.001	2272.999	2	4	1277	1659.999
ENSG00000006744	ELAC2	9495	11009	12541	12735.001	8246.999	10329.998	6989.999	9008
ENSG00000006747	SCIN	122	75	80	62	1077	1332.999	144	493.999
ENSG00000006756	ARSD	59	49	478	630	8	2	5714	4901.001
ENSG00000006757	PNPLA4	1424.001	1425	1366	1193	1436.999	1462.999	436.001	481
ENSG00000006788	MYH13	9	0	0	0	0	1	0	0
ENSG00000006831	ADIPOR2	7604.999	6298	4442.001	3060	6488	7649	12983	15315
ENSG00000006837	CDKL3	64.01	25.793	33.502	26.002	59.278	91.001	167.058	121.02
ENSG00000007001	UPP2	0	0	0	0	0	0	1	0
ENSG00000007038	PRSS21	1701	1778	32	52	3507.001	4225	0	0
ENSG00000007047	MARK4	1204	1286	2141	2962.999	947.001	1381	905.999	1048.999
ENSG00000007062	PROM1	3	0	8445.999	4629.001	0	6	13	15
ENSG00000007080	CCDC124	4813.001	5531	4678	5606.999	6859	9317	1109	2243
ENSG00000007129	CEACAM21	237	256	1	3	1	7	0	4
ENSG00000007168	PAFAH1B1	7765	7639	9175	4931	4313	5329.001	15249.999	15937
ENSG00000007171	NOS2	2	4	260	346	0	0	9	17
ENSG00000007174	DNAH9	9	0	49	56	0	0	1	1
ENSG00000007202	KIAA0100	18948.999	18440.001	22570.001	21208	20555.998	22948	23673	30458.002
ENSG00000007216	SLC13A2	5	7	0	0	0	0	11	2
ENSG00000007237	GAS7	7493.001	7445.001	2474	2409.999	3	0	12	26
ENSG00000007255	TRAPPC6A	1636	1818	3849	3883	605.999	599.001	922	1173.001
ENSG00000007264	MATK	118	140	1737	2421.001	3289.001	3632.999	201	381
ENSG00000007306	CEACAM7	0	0	0	0	0	0	76	13
ENSG00000007312	CD79B	4140.001	4481.999	208	207	0	17	0	2
ENSG00000007314	SCN4A	26	23	2257	3177	133	94	3	0
ENSG00000007341	ST7L	471.001	501	768.997	561	1511.001	1297.001	647	808
ENSG00000007350	TKTL1	0	1	7	5	67	51	3	0
ENSG00000007372	PAX6	8	23	32.999	33	567.002	736	0	1
ENSG00000007376	RPUSD1	4026.001	5350.999	6598.001	7001.001	4569	4921.002	1119.002	1753
ENSG00000007384	RHBDF1	8	11	5592.001	6778	613	788.001	5306	7286
ENSG00000007392	LUC7L	3886.998	3921.999	4495	4245.999	6082	6764.003	11083.999	9445
ENSG00000007402	CACNA2D2	0	0	6973.001	6410.001	30	81	231	233
ENSG00000007516	BAIAP3	47	49	735	1377	177	465	564	759
ENSG00000007520	TSR3	3444	4201	3223	4094	3447	3077	867	1484
ENSG00000007541	PIGQ	2549.998	2736.999	7304.002	9320.998	3543.001	4759	1498	2164
ENSG00000007545	CRAMP1L	1727.264	1774.435	5706.039	6731.385	3588.249	4086.002	6100.344	6638.725
ENSG00000007866	TEAD3	2	4	3652	4821	822	1296	1765	1603
ENSG00000007908	SELE	2	0	0	0	0	0	14	0
ENSG00000007923	DNAJC11	5614.001	6329	9315	11274	9626.001	11617.001	5430.999	5972
ENSG00000007933	FMO3	0	0	1	0	0	0	1	0
ENSG00000007944	MYLIP	1547	1269	3081	2429	3445	3773	4905	4376
ENSG00000007952	NOX1	0	0	0	0	0	0	1	3
ENSG00000007968	E2F2	2468	2865	585	682	2173	2765	1004	1590
ENSG00000008018	PSMB1	18614	14526	27435	17060	38702	47118	21952	26932
ENSG00000008056	SYN1	2	0	285	560	0	20	3	10
ENSG00000008083	JARID2	3574	3672.001	23337	24863	3290	5104	10329.999	9939.001
ENSG00000008086	CDKL5	720	586	945	694	0	18	528	515
ENSG00000008118	CAMK1G	19	0	161	161	0	0	5	1
ENSG00000008128	CDK11A	1653.941	1880.011	606.833	1327.759	2919.499	5505.992	2861.519	2928.886
ENSG00000008130	NADK	7766	8716.001	13050	14310.999	14087	15099.002	5428.998	6792
ENSG00000008196	TFAP2B	11	21	0	10	0	0	2	1
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	4	8	100	117	0	0	18	8
ENSG00000008256	CYTH3	4964	4625	1994	2199	2617.001	2976.001	2407.001	2302
ENSG00000008277	ADAM22	2387.001	1913	2132.999	1559	8	40	1934.999	1759
ENSG00000008282	SYPL1	4798.999	4035	5380	2289	4500	5602.001	23631	19247
ENSG00000008283	CYB561	523	423	2640	2827	3487	3723.998	15732.999	19500
ENSG00000008294	SPAG9	4381	3604	3182.001	2025	7671	10200.999	12593.999	12530.999
ENSG00000008300	CELSR3	434	407	6779	9117.001	460	559	3717	4454
ENSG00000008311	AASS	28	59	37761	32856	0	2	2578	1081.999
ENSG00000008323	PLEKHG6	157	142	2771	3527	15	40	550.999	786.999
ENSG00000008324	SS18L2	2724.001	2428	2723.001	1290	2632	3229	2357.999	2025.999
ENSG00000008382	MPND	721.001	805.999	2166.999	2493	372	435.001	739	1047
ENSG00000008394	MGST1	2903.001	2198.998	19635	9232.001	2159.001	2804	5888.001	6104.001
ENSG00000008405	CRY1	679	576	1856.999	1616	2849	3771	4326	4579
ENSG00000008438	PGLYRP1	0	0	1	0	0	0	0	0
ENSG00000008441	NFIX	38	75	7	18	1179.999	1570.999	258	158
ENSG00000008513	ST3GAL1	3502	3667.999	569	543	907	1176	7993	8172.998
ENSG00000008516	MMP25	52	39	1722	2799	0	0	15	16
ENSG00000008517	IL32	2674	2435.001	151.001	121	8	43	25	37
ENSG00000008710	PKD1	7273.515	9077.807	7821.752	10396.668	8098.213	10296.693	3227.493	4777.242
ENSG00000008735	MAPK8IP2	18	22	396	359	25	21	110	211
ENSG00000008838	MED24	6174.002	7451.001	13167	14985.002	6564.999	7528.999	2892.001	3929.997
ENSG00000008853	RHOBTB2	3147	3487	2007.001	2175	209	264	2041	1791
ENSG00000008869	HEATR5B	5117.001	4666	3099.999	2128.001	2728	3409	7654	7353.999
ENSG00000008952	SEC62	5876.999	5070	3176	1355.001	4795	5764	9022.999	7971
ENSG00000008988	RPS20	82531	70666.001	53061.91	40758.988	69036.783	86380.999	57899.936	59234.139
ENSG00000009307	CSDE1	27705	23804	33657.992	18657	36678	43931.999	298438.998	275537.997
ENSG00000009335	UBE3C	9282.999	8838.001	10367	7616.001	11348.999	13853	16229.001	17926.999
ENSG00000009413	REV3L	4559	3930	881	483	2759	3417	14105	12679
ENSG00000009694	TENM1	0	2	419	391	2593	3427	121	90
ENSG00000009709	PAX7	0	0	3	5	0	1	2	0
ENSG00000009724	MASP2	0	0	72	89	9	9	7	7
ENSG00000009765	IYD	0	3	0	0	8	0	26	13
ENSG00000009780	FAM76A	705	524	525	342.999	814	1185.999	750.999	753
ENSG00000009790	TRAF3IP3	6530	5283.001	0	0	23	8	0	0
ENSG00000009830	POMT2	805	964	4999	5479.001	1114.001	1456	11794.001	8709.001
ENSG00000009844	VTA1	4278	3391	5668.999	2467.999	4872	6506	7936.999	7829
ENSG00000009950	MLXIPL	0	0	1246	1924.001	651.001	1150.999	257	243
ENSG00000009954	BAZ1B	10847	10919	8226.001	4941	14209.001	20875	18116	17560
ENSG00000010017	RANBP9	2686	2220.001	2658	1305	6549	8350.999	6345.001	5288
ENSG00000010030	ETV7	145	156	244	240	0	0	11	11
ENSG00000010072	SPRTN	1089	806	909	677	1962	2382.001	1874	1606
ENSG00000010165	METTL13	3827.001	3651	6448	6360	5581	6464	6601	7236
ENSG00000010219	DYRK4	1301.999	1342.001	451.982	292.897	749.001	662.999	362.978	424.98
ENSG00000010244	ZNF207	23434.001	21318	37434.999	24150	25366.999	33905	18620.916	17607.001
ENSG00000010256	UQCRC1	13020	13180.998	41598	40411.002	13475	16845	7389.999	9616.999
ENSG00000010270	STARD3NL	5816	5021.001	2634	1318.001	3019.999	4107	2278	2249
ENSG00000010278	CD9	720	586	18274	9247.001	40	27	27915.999	34833
ENSG00000010282	HHATL	0	0	18	14	0	0	5	0
ENSG00000010292	NCAPD2	22461.001	22667.997	18033	19377	9685	14850	20648	24400
ENSG00000010295	IFFO1	2318.999	2514.999	2092	2352	0	5	12	24.001
ENSG00000010310	GIPR	1938.999	1979	55.001	111	1981.999	2764.001	135.001	128
ENSG00000010318	PHF7	617	419	525.999	506.001	1402	1706	240	267.999
ENSG00000010319	SEMA3G	9	1	194	250	1	2	21	15
ENSG00000010322	NISCH	7225.002	8046.999	22116.999	27352	4952.999	7285	7356	8585.001
ENSG00000010327	STAB1	0	0	170.999	217.001	206	297	9	28.999
ENSG00000010361	FUZ	563	518	2405.001	3079.998	428	304	423.002	533
ENSG00000010379	SLC6A13	5	10	3	6	0	5	4	0
ENSG00000010404	IDS	8791.512	8675.876	8392.591	5002.458	1658.033	1622.696	25397.165	21950.197
ENSG00000010438	PRSS3	0	0	5	0	0	3	0	0
ENSG00000010539	ZNF200	902.999	606	507.001	399.001	872.001	1111.001	1273	1171
ENSG00000010610	CD4	152	124	1021	958	10	0	1	0
ENSG00000010626	LRRC23	186.445	164.993	201.045	196.393	251.136	143.044	309.521	411.276
ENSG00000010671	BTK	9766	9500.001	9	3	6008	7084	3	3
ENSG00000010704	HFE	267	285.999	238	127.999	124	59	109	124
ENSG00000010803	SCMH1	3696	3577.001	3436	2521.001	3497.001	3657.001	1765	2299.001
ENSG00000010810	FYN	12816.999	11053.999	3714.998	3643.998	779.001	1329	985.001	601
ENSG00000010818	HIVEP2	4153	4171	1438	980	182	75	2069	1591
ENSG00000010932	FMO1	0	0	12	4	0	0	0	1
ENSG00000011007	TCEB3	5537	5185	5239	3534	6714	7626	6343	7250
ENSG00000011009	LYPLA2	8131	9293	20563.993	19991.001	8754	10613	1954.998	2232.999
ENSG00000011021	CLCN6	3931.28	3730	5558.981	6166	3635.001	4233	2733.001	2875
ENSG00000011028	MRC2	65	119	2194.001	3589.999	1111	1385	1468	2164.001
ENSG00000011052	NME2	636.507	434.98	712.994	806.157	420.823	916.09	815.359	788.276
ENSG00000011083	SLC6A7	2	7	23	3	0	0	0	0
ENSG00000011105	TSPAN9	6	18	2971.999	4244	111	143	980	968
ENSG00000011114	BTBD7	2693	2566.001	4221	2818.999	1548	1685.999	11941.812	10817.999
ENSG00000011132	APBA3	2204.001	2570	3860	4414.001	1647.999	1820.001	203	297
ENSG00000011143	MKS1	1036.001	1050	1237	1113.999	1648.001	1974	2297.001	2264.999
ENSG00000011198	ABHD5	529	502	972	361.999	2152.999	2796	2238	2573.999
ENSG00000011201	KAL1	9	3	11016.59	5513.606	0	0	888	818.001
ENSG00000011243	AKAP8L	4363	5159	5547.999	8161.999	6656	9586.001	4118.999	4528.999
ENSG00000011258	MBTD1	2068.001	1758	6808	3192	2952	3594.999	9797.999	6124.999
ENSG00000011260	UTP18	3472	3189	1990	1058	4760	5983.999	6980	7067.001
ENSG00000011275	RNF216	6640.436	6338	4017.299	3812.685	5574	7390	6476.708	8412.039
ENSG00000011295	TTC19	1447.001	1271.999	2036.999	1428.001	1543	2606.001	3504.999	2685.999
ENSG00000011304	PTBP1	29156	36259.001	51996.997	60267	32598.998	45099.999	15359.999	21077.999
ENSG00000011332	DPF1	395	434.999	904	1200	298	511	146	250
ENSG00000011347	SYT7	0	0	2722.001	3540	51	8	2258.999	2904.001
ENSG00000011376	LARS2	4637.999	4480.001	6934.001	5988.999	5306.999	4840	2029	2495
ENSG00000011405	PIK3C2A	2104	1704	10841.999	5552	2549	3145.001	11095.001	9016
ENSG00000011422	PLAUR	587	631.001	1780	1891.999	580.001	847.999	295.999	336.998
ENSG00000011426	ANLN	2880	2484	2131.999	1324.999	4547	5419	14013.999	12842
ENSG00000011451	WIZ	3549.999	4565	3607	5293.001	3365	4802	2078.999	2832.001
ENSG00000011454	RABGAP1	3094.001	2756.001	4820	3280	1636	2565.001	28365.001	27419.001
ENSG00000011465	DCN	0	0	1	0	14	22	12	4
ENSG00000011478	QPCTL	1769.999	1925	4998	5750	1742	2647	727	1036.999
ENSG00000011485	PPP5C	9427.002	11480.001	15442.002	17568.002	10619	11898.999	6963	10228
ENSG00000011523	CEP68	1658	1746	5991	6825	1704	1668	2557	1986
ENSG00000011566	MAP4K3	15	20	2893	1341	1412	2002	9276	8208
ENSG00000011590	ZBTB32	2831	2761	13	16	4	0	0	1
ENSG00000011600	TYROBP	36	19	4	3	111	72	0	0
ENSG00000011638	TMEM159	393.001	424.001	2281	1716.999	501	511	2016	1987.001
ENSG00000011677	GABRA3	0	0	1200	864	316	181	5	5
ENSG00000012048	BRCA1	4492.001	4072.001	2643	1780	7390.998	9142.00000000001	7350.999	8721
ENSG00000012061	ERCC1	5724.001	5892	5966.999	6821.999	5300	7571	2091.001	2114.002
ENSG00000012124	CD22	24933.999	25138	8	18	339	289	57	63
ENSG00000012171	SEMA3B	20	34	530.999	998.999	135.001	228	3089	6127.999
ENSG00000012174	MBTPS2	1416.263	1505.651	1259.231	878.241	1739.87	1620.448	3659.37	3953.567
ENSG00000012211	PRICKLE3	1031	1177	1247.001	1706	1905	2715.001	618	672
ENSG00000012223	LTF	0	0	45	58	19	1	0	0
ENSG00000012232	EXTL3	2255	2576	19593	18685.001	1919	2216	3026	3801
ENSG00000012504	NR1H4	0	0	0	0	0	0	1	0
ENSG00000012660	ELOVL5	15667	14679.001	19008	10080	10792.001	13182	5240.001	5465
ENSG00000012779	ALOX5	6957	6958.001	454	550.001	94	194.001	394	280
ENSG00000012817	KDM5D	0	0	4655	4300.999	0	0	0	0
ENSG00000012822	CALCOCO1	1524.999	1413	3521	2769.001	1298.001	1879	6030.998	5143.998
ENSG00000012963	UBR7	5939	5819	4720	3121	4344.999	5257	13837.999	16143.929
ENSG00000012983	MAP4K5	3505	2965.999	1423	880	2544	3072	6035	5213
ENSG00000013016	EHD3	2342	2582	2973	2877	0	11	752	1079
ENSG00000013275	PSMC4	5361	6326	8291	8511.001	5470.999	7360.001	7346	10263
ENSG00000013288	MAN2B2	2902	2868	1314.999	1777	1266.999	1368	1944.999	2829
ENSG00000013293	SLC7A14	0	0	143	147	0	0	0	0
ENSG00000013297	CLDN11	0	0	669	985	12	5	31	16
ENSG00000013306	SLC25A39	14747.002	17315.998	26507	31113.001	19566	19546.001	9102	13359.999
ENSG00000013364	MVP	5220.999	6127.001	298	573	77	58	1523	1965
ENSG00000013374	NUB1	5501.001	4621	3437	2811.998	6850	9732.999	5020	4592
ENSG00000013375	PGM3	1705.999	1482	3060.001	1529	3651	4251.999	6317.001	5910
ENSG00000013392	RWDD2A	531	404	542	347	338	599	1608	1322
ENSG00000013441	CLK1	8204	6557.999	1984	824	2861.999	4495	14160	10000
ENSG00000013503	POLR3B	1389	1105	1386	971	2398	2678	2252	2511
ENSG00000013523	ANGEL1	3012.999	2814	6004.001	5863.001	1978	2176	7085	7634
